Place ,Latitude,Longitude,Power
K N Gulbarga,17.29891186,76.87438102,5
Shorapur,16.50714658,76.76406123,10
PN Clean,29.8712461,75.47714459,10
Basavana Bagewadi,16.57365905,75.974643,20
Byadagi,14.67946044,75.48015102,20
Channapatanna,12.64321957,77.19748995,20
Gubbi,13.49964643,77.01272214,20
Holenarasipura,12.75516738,76.19954329,20
Jevargi,12.77831468,76.57228673,20
K R Pet,12.78771424,76.56984592,20
K N Bijapur,16.80645613,75.73332703,20
KN Muddebihal,16.4615274,75.94986836,20
Magadi,12.83707002,77.20026695,20
Periayapatana,12.32997783,76.10400496,20
Ramanagara,12.7180429,77.28878401,20
T Narasipura,12.21457678,76.89606981,20
Tipatturu,13.24850103,76.48404349,20
PN Renewable,29.87724224,75.47702002,20
Mahoba,25.35379639,79.77391247,20
Kanasar,28.11568475,73.31789713,20
Kilaj,17.92831846,76.3030935,20
Lohit ,27.64118,95.87386,20
Bukpi ,24.2637,93.1893,20
Solar Park Meghalaya,25.567938,90.224464,20
Vankal ,23.6052,93.1176,20
Anantpur SPPL,15.79030757,75.49064818,20
Thungapatra SPPL,16.37632978,74.77634947,20
Minpur,17.74599833,78.0211669,25
Chithrakoot,25.29370739,81.22459485,25
Mithapur,22.40812067,68.99425913,25
Nalwar,16.94234846,76.99233316,40
Nabarangpur,19.23256138,82.53539526,40
Solar Park by NHPC-1,21.25712165,85.02145468,40
Kallur,16.13873344,77.21594803,50
Maskal,13.99274783,76.68996592,50
Rajeshwar,17.78936972,77.04452257,50
Rastapur,16.62879026,76.8533028,50
Yatnal,16.97694327,75.58427989,50
Gani,15.68042141,78.28029184,50
Nalgonda,17.27271399,79.20473438,50
Siddipet,18.08173239,78.84073358,50
Jhansi,25.37005483,78.30639555,50
Jalalabad,27.71530712,79.66196336,50
Sahaswan,28.07231972,78.75618657,50
Madhuvanahally,12.15388834,77.14623203,100
Bathinda,30.21637566,74.76084939,100
Durg,21.53478013,81.25136241,100
Narketpally,17.27529967,79.20320661,100
Solar Park Uttarpradesh,26.8467,80.9462,100
Solar Park by NHPC-2,21.25712165,85.02145468,100
Kasargod ,12.507643,74.988213,105
Pavagada-Tata,14.24605766,77.47470086,150
Floating Solar Park Ranchi,23.3441,85.3096,150
Patoda ,18.878864,75.626628,150
Hybrid Park Pavagada,14.14118467,77.31145402,160
Pavagada,14.23888018,77.46066456,200
Ananatpur,14.23298496,77.4601098,250
Rawra,27.41095871,72.2146196,250
Mandsaur ,24.076836,75.069298,250
Dondaicha ,21.324507,74.556389,250
Pokharan ,26.89630356,72.05982583,300
Kurnool,15.67650131,78.28577179,350
Harshad ,22.0789,71.4233,350
Fatehgarh Phase-1B ,26.85158056,71.50793889,421
Fatehgarh Phase-1B Solar Park,26.48833457,71.2040058,421
Neemuch ,24.72118027,75.03509592,500
Ananthapuramu-2,14.9525,78.0609,500
Sai Guru ,20.9926,74.3141,500
Bhadla-IV ,27.5054,71.9401,500
Barethi ,24.604667,79.207493,550
Agar Solar Park,23.42,76.03,550
Omkareswar ,22.241774,76.149389,600
Kamuthi,9.345998162,78.39380401,648
Shajapur,23.4333,76.266701,650
Jalaun ,26.140644,79.35562,680
Bhadla-II ,27.41911667,72.07638889,680
Radhnesada ,24.531,71.2815,700
Rewa ,24.48478447,81.56303073,750
Phalodi-Pokaran ,27.131235,72.358925,750
Nokh ,26.9157527,70.9083403,925
Chhattarpur ,24.916355,79.581184,950
Kurnool ,15.6811,78.2825,1000
Kadapa ,14.6819,77.6006,1000
Kaza ,32.227599,78.07099,1000
Dholera Phase-1,22.2499,72.1934,1000
Bhadla-III ,27.5054,71.9401,1000
NP Kunta,14.0558,78.4119,1500
Ananthapuramu-1,14.6819,77.6006,1500
Pavagada-2,14.1382,77.3146,2050
Bhadla ,27.5176,71.9304,2245
Dholera Phase-2,22.2499,72.1934,4000
Charanka ,23.9021,71.1948,4431
